               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035089,            0.030367,           0.0020899,             0.69613,             0.73649,             0.77462,             0.42991,            0.026504,            0.012698,          0.00045784,             0.00769,             0.00769,             0.00769
                  37,             0.03514,            0.029097,           0.0014911,             0.71316,             0.67111,             0.72685,             0.37178,            0.028598,            0.014134,           0.0016518,            0.007624,            0.007624,            0.007624
                  38,            0.034779,            0.030221,           0.0018036,             0.68349,             0.73662,             0.75709,             0.42843,            0.027025,            0.012693,          0.00072927,            0.007558,            0.007558,            0.007558
                  39,            0.034115,             0.03012,           0.0014626,             0.73747,             0.70121,             0.76601,              0.3996,            0.029072,            0.012968,          0.00079206,            0.007492,            0.007492,            0.007492
                  40,            0.033543,             0.02955,            0.001535,             0.73923,             0.73551,             0.79213,             0.44914,            0.025585,             0.01281,          0.00066704,            0.007426,            0.007426,            0.007426
                  41,            0.034413,             0.02898,           0.0017302,              0.7505,             0.74873,             0.80724,             0.46245,            0.025103,             0.01227,          0.00057959,             0.00736,             0.00736,             0.00736
                  42,            0.033803,             0.02979,           0.0018723,             0.72445,             0.75801,             0.79594,             0.46084,            0.025449,            0.012221,           0.0004304,            0.007294,            0.007294,            0.007294
                  43,            0.033716,            0.029551,           0.0020292,             0.73171,             0.75891,             0.78955,             0.45382,            0.025169,            0.012609,          0.00049957,            0.007228,            0.007228,            0.007228
                  44,            0.033363,            0.029863,           0.0017698,             0.71528,             0.76009,             0.80465,             0.46887,            0.025483,            0.012043,          0.00061841,            0.007162,            0.007162,            0.007162
                  45,            0.033732,             0.02856,           0.0018911,             0.71249,             0.72233,             0.76719,             0.41762,            0.027067,            0.013235,          0.00062216,            0.007096,            0.007096,            0.007096
                  46,            0.033797,            0.029315,           0.0017631,             0.74616,             0.75779,             0.80434,             0.45415,            0.025661,            0.012345,          0.00050042,             0.00703,             0.00703,             0.00703
                  47,            0.033281,             0.02957,            0.001541,             0.70593,             0.75974,             0.79806,             0.46546,            0.024522,            0.012408,          0.00040978,            0.006964,            0.006964,            0.006964
                  48,            0.033675,            0.029015,           0.0014651,             0.70947,             0.76618,             0.79125,             0.45533,            0.025047,            0.012339,          0.00065725,            0.006898,            0.006898,            0.006898
                  49,             0.03342,            0.029198,           0.0018901,             0.65779,             0.48597,             0.55116,             0.25983,            0.036917,            0.016216,           0.0051513,            0.006832,            0.006832,            0.006832
                  50,            0.033687,            0.029436,           0.0017881,              0.7592,             0.77154,             0.83262,             0.48688,            0.024739,            0.011853,          0.00040974,            0.006766,            0.006766,            0.006766
                  51,            0.033275,            0.029414,           0.0017867,             0.73827,             0.78083,             0.82128,             0.48173,            0.025093,            0.012006,          0.00064667,              0.0067,              0.0067,              0.0067
                  52,            0.032542,            0.028847,           0.0015278,             0.76139,              0.7734,             0.82439,             0.48141,            0.024573,             0.01226,          0.00044186,            0.006634,            0.006634,            0.006634
